,State_Code,District_Name,Type,Status,Count
0,AN,Nicobars,delta7,vaccinated1,62.0
1,AN,Nicobars,delta7,vaccinated2,811.0
2,AN,Nicobars,meta,population,36842.0
3,AN,Nicobars,total,vaccinated1,25394.0
4,AN,Nicobars,total,vaccinated2,20313.0
5,AN,North and Middle Andaman,delta,vaccinated2,8.0
6,AN,North and Middle Andaman,delta7,vaccinated1,90.0
7,AN,North and Middle Andaman,delta7,vaccinated2,1839.0
8,AN,North and Middle Andaman,meta,population,105597.0
9,AN,North and Middle Andaman,total,vaccinated1,78945.0
10,AN,North and Middle Andaman,total,vaccinated2,59522.0
11,AN,South Andaman,delta,vaccinated1,3.0
12,AN,South Andaman,delta,vaccinated2,28.0
13,AN,South Andaman,delta7,vaccinated1,732.0
14,AN,South Andaman,delta7,vaccinated2,8012.0
15,AN,South Andaman,meta,population,238142.0
16,AN,South Andaman,total,vaccinated1,189662.0
17,AN,South Andaman,total,vaccinated2,120322.0
18,AN,Unknown,delta21_14,confirmed,9.0
19,AN,Unknown,delta7,confirmed,3.0
20,AN,Unknown,delta7,recovered,5.0
21,AN,Unknown,total,confirmed,7651.0
22,AN,Unknown,total,deceased,129.0
23,AN,Unknown,total,recovered,7518.0
24,AP,Anantapur,delta,confirmed,4.0
25,AP,Anantapur,delta,recovered,5.0
26,AP,Anantapur,delta,vaccinated1,4575.0
27,AP,Anantapur,delta,vaccinated2,5370.0
28,AP,Anantapur,delta21_14,confirmed,50.0
29,AP,Anantapur,delta7,confirmed,38.0
30,AP,Anantapur,delta7,recovered,58.0
31,AP,Anantapur,delta7,vaccinated1,92803.0
32,AP,Anantapur,delta7,vaccinated2,140903.0
33,AP,Anantapur,meta,population,4083315.0
35,AP,Anantapur,total,confirmed,157843.0
36,AP,Anantapur,total,deceased,1093.0
37,AP,Anantapur,total,recovered,156699.0
38,AP,Anantapur,total,tested,787085.0
39,AP,Anantapur,total,vaccinated1,2690082.0
40,AP,Anantapur,total,vaccinated2,1611476.0
41,AP,Chittoor,delta,confirmed,64.0
42,AP,Chittoor,delta,deceased,1.0
43,AP,Chittoor,delta,recovered,87.0
44,AP,Chittoor,delta,vaccinated1,878.0
45,AP,Chittoor,delta,vaccinated2,1306.0
46,AP,Chittoor,delta21_14,confirmed,631.0
47,AP,Chittoor,delta7,confirmed,516.0
48,AP,Chittoor,delta7,deceased,6.0
49,AP,Chittoor,delta7,recovered,629.0
50,AP,Chittoor,delta7,vaccinated1,63824.0
51,AP,Chittoor,delta7,vaccinated2,119541.0
52,AP,Chittoor,meta,population,4170468.0
54,AP,Chittoor,total,confirmed,246935.0
55,AP,Chittoor,total,deceased,1947.0
56,AP,Chittoor,total,recovered,244144.0
57,AP,Chittoor,total,tested,780322.0
58,AP,Chittoor,total,vaccinated1,2832987.0
59,AP,Chittoor,total,vaccinated2,1807873.0
60,AP,East Godavari,delta,confirmed,87.0
61,AP,East Godavari,delta,recovered,121.0
62,AP,East Godavari,delta,vaccinated1,41.0
63,AP,East Godavari,delta,vaccinated2,237.0
64,AP,East Godavari,delta21_14,confirmed,401.0
65,AP,East Godavari,delta7,confirmed,604.0
66,AP,East Godavari,delta7,recovered,520.0
67,AP,East Godavari,delta7,vaccinated1,36973.0
68,AP,East Godavari,delta7,vaccinated2,223236.0
69,AP,East Godavari,meta,population,5151549.0
71,AP,East Godavari,total,confirmed,293836.0
72,AP,East Godavari,total,deceased,1290.0
73,AP,East Godavari,total,recovered,291610.0
74,AP,East Godavari,total,tested,944746.0
