Year,Month,week_of_month,Tested,Confirmed,Recovered,Death,"First Does","Second Dose"
2020,January,"Week 4",0,6,0,0,0,0
2020,February,"Week 1",0,24,0,0,0,0
2020,February,"Week 2",0,6,18,0,0,0
2020,March,"Week 1",0,562,36,0,0,0
2020,March,"Week 2",32500,1842,42,10,0,0
2020,March,"Week 3",155641,4846,52,24,0,0
2020,March,"Week 4",442542,32414,2006,584,0,0
2020,April,"Week 1",1672432,95904,8034,2854,0,0
2020,April,"Week 2",4341142,200024,24084,7168,0,0
2020,April,"Week 3",8465294,344750,63548,11152,0,0
2020,April,"Week 4",19603747,724258,194308,23132,0,0
2020,May,"Week 1",25159128,928508,281671,31940,0,0
2020,May,"Week 2",34745638,1381008,477430,44470,0,0
2020,May,"Week 3",45981595,1920231,829338,57960,0,0
2020,May,"Week 4",88124850,4176490,1960954,115936,0,0
2020,June,"Week 1",79906759,4160800,2070960,115655,0,0
2020,June,"Week 2",95841783,5343124,2714430,153020,0,0
2020,June,"Week 3",114208450,6728210,3848122,236108,0,0
2020,June,"Week 4",182878167,11581752,7013636,342334,0,0
2020,July,"Week 1",172622801,11793334,7343176,319096,0,0
2020,July,"Week 2",204427888,14815968,9519989,373452,0,0
2020,July,"Week 3",243436596,18857909,11867146,443120,0,0
2020,July,"Week 4",437722949,36652395,23765162,783451,0,0
2020,August,"Week 1",385272671,32839740,22729874,649491,0,0
2020,August,"Week 2",466771441,39455910,28754992,749945,0,0
2020,August,"Week 3",558890119,45885380,34916820,849678,0,0
2020,August,"Week 4",965230699,78148206,60916356,1376750,0,0
2020,September,"Week 1",814199145,65352840,50890926,1087378,0,0
2020,September,"Week 2",928278409,75265094,59001178,1209318,0,0
2020,September,"Week 3",1035403154,84508644,68412632,1328346,0,0
2020,September,"Week 4",1501151532,119889758,101555102,1857642,0,0
2020,October,"Week 1",1298896064,101340464,87255608,1552650,0,0
2020,October,"Week 2",1408682085,107408618,94991736,1627012,0,0
2020,October,"Week 3",1511503005,112427586,101447544,1691076,0,0
2020,October,"Week 4",2354158088,167417860,154852656,2491996,0,0
2020,November,"Week 1",1775413585,122272494,114201410,1801998,0,0
2020,November,"Week 2",1883727650,126637202,118466500,1854418,0,0
2020,November,"Week 3",1965861163,129965272,122471952,1899076,0,0
2020,November,"Week 4",2706038385,173640306,163047102,2516006,0,0
2020,December,"Week 1",2234745011,138570908,131497592,2010096,0,0
2020,December,"Week 2",2331130290,141028616,134687810,2043388,0,0
2020,December,"Week 3",2438643887,142910514,137274300,2072712,0,0
2020,December,"Week 4",3652019542,207466030,199621034,3004026,0,0
2021,January,"Week 1",2667176750,147135998,142193928,2126018,0,0
2021,January,"Week 2",2752881484,148671500,143729742,2142752,0,0
2021,January,"Week 3",2821968363,149827166,145127100,2155652,15214720,0
2021,January,"Week 4",4156234781,216134206,209915480,3099460,88579906,0
2021,February,"Week 1",2992272862,152585778,148525148,2180369,100943083,0
2021,February,"Week 2",3065920315,153598134,149649596,2187194,142451261,240158
2021,February,"Week 3",3131430137,154833522,150592351,2196541,161531272,18303602
2021,February,"Week 4",3208672513,156487252,151821524,2207349,182199758,48932011
2021,March,"Week 1",3288894931,158251296,153189580,2217882,258498904,64451427
2021,March,"Week 2",3364070460,160573902,155182642,2229618,408329597,93084951
2021,March,"Week 3",3466106568,164707014,157329112,2249500,623350472,124756936
2021,March,"Week 4",5152198758,247210074,230785948,3270029,1266572477,197301189
2021,April,"Week 1",3747033029,185654676,168763570,2365332,1246606066,166507613
2021,April,"Week 2",3912584472,205022482,178184508,2468582,1628629607,215499766
2021,April,"Week 3",4091334830,236168014,194918862,2654058,1751907404,290376651
2021,April,"Week 4",5555773616,365802326,293313560,3945504,2402193583,549704306
2021,May,"Week 1",4542975870,332571270,271168816,3572302,1930396549,519336324
2021,May,"Week 2",4734713287,368908200,310228964,4003736,2001574601,644192997
2021,May,"Week 3",4929594211,390853366,348648166,4422542,2145791891,639510418
2021,May,"Week 4",7429304179,582991660,545317044,6952362,3521286415,892865592
2021,June,"Week 1",5527229649,416715942,400121272,5149740,2807253817,659430670
2021,June,"Week 2",5706378099,421379548,408253991,5501908,3124491459,693097291
2021,June,"Week 3",5873510080,424807976,413204770,5671838,3464047436,740886317
2021,June,"Week 4",7834778686,551336074,536422790,7301024,5391146214,1101276128
2021,July,"Week 1",6316842920,433079470,421907442,5734346,4366844924,1026573030
2021,July,"Week 2",6492822095,436772164,425169483,5833386,4538788730,1166478146
2021,July,"Week 3",6684720032,440287930,428873460,5907490,4804909304,1321415641
2021,July,"Week 4",9852452675,635613408,618975596,8554451,7439795508,2145118409
2021,August,"Week 1",7119718757,449893176,437959974,6026652,5775794675,1663911186
2021,August,"Week 2",7306940083,453325488,442054528,6071350,6132344204,1761822846
2021,August,"Week 3",7484812872,456399984,445452076,6115502,6622683493,1907807274
2021,August,"Week 4",10984545236,658405344,642453172,8816339,10231425471,3078195547
2021,September,"Week 1",7891401455,466418542,453985026,6210185,7968918207,2483787969
2021,September,"Week 2",8057098427,469116047,457836251,6231128,8417628035,2737503739
2021,September,"Week 3",8195939439,471625046,461555906,6263670,8957440365,3190881854
2021,September,"Week 4",10766787833,610042553,597133263,8092066,12046959909,4562308673
2021,October,"Week 1",8522242749,476431018,466981158,6320088,9672701364,3837253281
2021,October,"Week 2",8643693132,477910506,469020088,6342082,9936175253,4114898521
2021,October,"Week 3",8746484846,479098658,470540324,6358022,10012147907,4264622539
2021,October,"Week 4",12723897399,686834562,674593696,9196760,14848756714,6849964257
